SalesID,EmployeeID,CustomerID,ProductID,Quantity,Unit price,Discount,TotalPrice,SalesDate,TransactionNumber,Tempery key
62,6,62,392,1,1.68,0,105263,3/26/2020,SQW189YLFHQES07W65BL,172
63,9,63,393,2,13.98,0,60218,3/26/2020,RYF0INB68CGJIFNVLSJV,173
64,1,64,405,6,25.824,0.2,136254,3/26/2020,KBV8438ZU7YM00RG0PMN,174
65,18,65,408,3,146.73,0,62205,3/26/2020,749UALK1KCSP27NJRDJ2,175
66,14,66,411,4,79.76,0,40532,3/26/2020,D4IWHEWEL2X8AC6LDUIO,176
67,10,67,413,5,213.115,0.3,58234,3/27/2020,Z9VHRUGXDJ1D939CZJKS,177
68,20,68,434,8,1113.024,0.2,60317,3/27/2020,DRUM3I6UF0B1BALBF6ZO,178
69,17,69,437,4,167.968,0.2,124186,3/27/2020,US07XQQEYALV4MI0UOB9,179
70,19,70,445,2,75.88,0,238504,3/27/2020,HPQ56O2AKHNEVW8BU0X1,180
71,12,71,448,1,4.616,0.2,145534,3/27/2020,DXZQM3J6FIKSNGTZ6Q4M,181
72,8,72,236,3,19.05,0,292323,3/27/2020,UCPCLC18R6J4LVVV2E6A,182
73,15,73,61,8,831.936,0.2,67118,3/27/2020,W38A1I76YLAIHYGOB6MB,183
74,1,74,367,2,97.04,0.2,79403,3/28/2020,F0T6ZB6PYGG2JHISVWWY,184
75,13,75,344,1,72.784,0.2,75799,3/28/2020,UANTJIAZWHBJT96NKLEI,185
76,15,76,223,3,1.248,0.8,36170,3/28/2020,DN29IIY6MRNWWAJJSUED,186
77,18,77,342,3,9.708,0.6,0,3/28/2020,OB397PDZOJVJZGMLK00B,187
78,1,78,371,3,27.24,0.2,97355,3/28/2020,9QNMXZN3SQZ5WPCZZBTK,188
79,16,79,376,5,19.3,0.6,223739,3/28/2020,X8SDWTWY7UE12ELFN9QQ,189
80,3,80,271,1,208.16,0,56214,3/28/2020,WSVD3RALLP7RMBHV915Q,190
81,18,81,435,3,16.74,0,61180,3/28/2020,KWK4TAQJC12UB1GWZT2L,191
82,10,82,236,5,14.9,0,129845,3/28/2020,M57AG23KD8LZQBVA89GJ,192
83,13,83,371,1,21.39,0,38220,3/29/2020,9N4XBA1Y9725TYRDUD8N,193
84,13,84,274,7,200.984,0.2,48653,3/29/2020,YSHUKQKMQKM19DH3D4S2,194
85,20,85,155,3,230.376,0.2,23812,3/29/2020,31IUWC3XEW7W2AUM2QJG,195
86,10,86,191,2,301.96,0,54444,3/29/2020,ING3JLAAH8FLDURZZODG,196
87,17,87,277,1,19.99,0,61913,3/29/2020,COE562MGAE8LAKD2RDRT,197
88,10,88,53,2,6.16,0,0,3/29/2020,WNSBPF3N326ZM6Z1YCIN,198
89,15,89,75,7,158.368,0.2,0,3/29/2020,7U7Z2AEW8BLN1F0MTHNJ,199
90,2,90,436,3,20.1,0,51477,3/30/2020,VRKCLQYF4VU4Z0J5EFV0,200
91,17,91,247,2,73.584,0.2,97572,3/30/2020,FACH7Q81HUIU3BKH82OF,201
92,15,92,30,1,6.48,0,32137,3/30/2020,O5E1UO9FX7AOUGH7VD0Q,202
93,23,93,258,2,12.96,0,35042,3/30/2020,M1CAWPYN5C7KAQ4YGD1Y,203
94,16,94,305,3,53.34,0,120113,3/31/2020,KM859V39DPNP8141RXZA,204
95,10,95,54,2,32.96,0,65303,3/31/2020,RU24JPC9EZZRR2E44NTV,205
96,21,96,90,1,5.682,0.7,114298,3/31/2020,PJY3W9NZ2XN4ESYVXLPA,206
97,18,97,6,7,96.53,0,120813,3/31/2020,8PHPQIS441Z83HRDXJMB,207
98,6,98,328,3,51.312,0.2,41717,3/31/2020,6TAS85MPYVURGQCMBFV1,208
99,21,99,186,6,77.88,0,24610,3/31/2020,5VQ8K44CBBXUDBILL2H4,209
100,3,100,431,7,64.624,0.2,24185,3/31/2020,ZAF82MBDASSF20YKJO0I,210
101,10,101,193,3,95.976,0.2,48256,3/31/2020,MJWW3ET1PCEXJ6LA0HIT,211
102,13,102,111,3,1.788,0.8,98479,3/31/2020,1J5FABK02EGLLDRJCY7H,212
103,2,103,386,4,23.92,0,49470,3/31/2020,LGEIJUDAJ6HPDK0QGS29,213
104,14,104,385,6,238.896,0.2,0,3/31/2020,I7YW7SRSV558CYIG6L2J,214
105,11,105,433,3,102.36,0.2,30394,4/1/2020,C4I63USGRV2GL3919HMC,215
106,11,106,90,3,36.882,0.7,30187,4/1/2020,SU7D2G67W9B94F8MW6NS,216
107,23,107,92,8,74.112,0.2,41323,4/1/2020,0BB7LIAQ8Y2G4JAAT0DL,217
108,7,108,170,1,27.992,0.2,67830,4/1/2020,ULR7HO0ECAYKUSJW5GXV,218
109,9,109,396,1,3.304,0.2,45677,4/1/2020,95NE9MTC4C3M5RN4WP47,219
110,5,110,389,5,339.96,0.2,54546,4/2/2020,J6C4LFMEISOU5UITYFOD,220
111,21,111,7,2,41.96,0,53423,4/2/2020,IQ0FW54ODNZAUVFIB8JS,221
112,13,112,450,2,75.96,0,72447,4/2/2020,3TEC4SZMKLGJR1GBPOAI,222
113,1,113,11,6,27.24,0,348058,4/2/2020,44OKAY3AM75LOEXM2SC4,223
114,21,114,330,14,40.096,0.2,70918,4/3/2020,T2JQ3UY7MJ8AWZOPRTUV,224
115,4,115,116,2,4.72,0.2,43836,4/3/2020,XEBX2MIOMWXDOA25U734,225
116,1,116,398,3,23.976,0.2,26711,4/3/2020,ZOWBSF8XBYI8PVN8S07G,226
117,23,117,114,6,130.464,0.2,42952,4/3/2020,0MAW8OMJXMQR8YQEMA7A,227
118,4,118,440,3,787.53,0,39840,4/3/2020,AXF4YEFX16WOLZ1LEKRM,228
119,2,119,87,1,157.794,0.7,37004,4/3/2020,ECSHGXXT6Q05RPOVS997,229
120,3,120,169,3,47.04,0,82418,4/3/2020,VFVJUACPMAIFQIVYFTZ8,230
121,21,121,252,4,30.84,0,43555,4/3/2020,Y0KHCS285RSPI00YJTNC,231
122,6,122,43,6,226.56,0,29136,4/3/2020,LFX8NEQO6OH92XFA1HH9,232
123,2,123,190,9,115.02,0,46741,4/3/2020,Y2AFG3LNHC63L4V7JFXU,233
124,7,124,292,7,68.04,0,81704,4/4/2020,AO5E4KTNSR4WWIHFARDA,234
125,15,125,242,3,600.558,0.3,69659,4/4/2020,FN5SC8QFP9GIUOD51BIR,235
126,1,126,126,6,617.7,0.5,75625,4/4/2020,3HNE1T3A8GUIBQ23MNMB,236
127,5,127,437,2,2.388,0.7,54802,4/4/2020,GMWYHTB4FJ6OSL2ERNRA,237
128,9,128,341,7,243.992,0.2,49093,4/5/2020,Z7P124YWZ4QRJMVRFK0R,238
129,23,129,174,2,81.424,0.2,96881,4/5/2020,TXOUI5ZOU0U05GF6XFOD,239
130,4,130,67,3,238.56,0,73610,4/5/2020,FEGW8Y7MC2RJC6A16JZY,240
131,2,131,187,5,59.97,0.4,65385,4/5/2020,54VQE5GKI5CEXDI7Y96S,241
132,16,132,414,2,78.304,0.2,56609,4/5/2020,IX3HTA55QVOEZAAK5USR,242
133,4,133,358,9,21.456,0.2,135448,4/5/2020,TXE4ESRT89S65N7S9LVA,243
134,13,134,172,3,20.04,0,0,4/5/2020,S9NZX37NTFE0ZOZOCEHD,244
135,16,135,121,1,35.44,0,28652,4/5/2020,IMW7TN3RW9WGN1OR5HPJ,245
136,3,136,311,4,11.52,0,46526,4/6/2020,EUE56Y74W6EX29MRR3G4,246
137,22,137,72,2,4.02,0,47831,4/6/2020,Z2IILR10DD9FAHOXLUAW,247
138,12,138,307,3,76.176,0.2,86480,4/6/2020,OAM4W5U9PGR99X3Y1QV8,248
139,1,139,425,6,65.88,0,210099,4/6/2020,UJIEWM3KGSEYEASVEPM7,249
140,16,140,215,14,43.12,0,0,4/7/2020,NWH50JKYK4EOBUQ4PZJQ,250
141,21,141,283,2,82.8,0.2,38011,4/7/2020,9NDAUMB2M19156N08V2I,251
142,18,142,309,3,8.82,0,43508,4/7/2020,VOZA3G2ROP2G1E84U6X9,252
143,6,143,165,3,10.86,0,74753,4/7/2020,Y35M5N33H4H84EZD0R69,253
144,23,144,266,3,143.7,0,35696,4/7/2020,XB6L4SEVDO59PWLUNXSY,254
145,22,145,38,3,839.43,0,22032,4/7/2020,7KL8XZ9RUFQ0K1RY11UP,255
146,9,146,375,7,671.93,0,21128,4/7/2020,3FCYEHDJDUDAMPQKC7T4,256
147,13,147,370,4,93.888,0.2,168302,4/7/2020,J9E84VUVLWX9G4499IIW,257
148,21,148,95,11,384.45,0,107436,4/7/2020,GLDQXB0DOT1K3J6XQ9LJ,258
149,14,149,273,3,149.97,0,47559,4/8/2020,RXF06LMB3OA7W2O1H7KT,259
150,6,150,199,8,1951.84,0,198957,4/8/2020,W2VOCKYCJ9WCJPNXQQPE,260
151,21,151,119,5,171.55,0,76888,4/8/2020,L4RC6HHW821Q5UVKBU0N,261
152,5,152,217,5,157.92,0.2,334056,4/8/2020,KFEUCD14RGUEFBX4B53G,262
153,11,153,324,2,203.184,0.2,196153,4/8/2020,GL6BPJXFZPX6J97J8YI9,263
154,22,154,98,7,58.38,0,84518,4/8/2020,CK5NCA7RTBZ0NTLOBOAU,264
155,23,155,440,4,105.52,0,54652,4/8/2020,F7RKJRHT9VL60410ND9P,265
156,9,156,289,6,80.88,0,3626444,4/9/2020,DLDQ68OLKKQZOLXKB7Q1,266
157,15,157,432,3,6.63,0,42020,4/9/2020,8Y6BJLJMO47UZ6U03GHW,267
158,20,158,143,2,457.568,0.2,64068,4/9/2020,3RB4LPV83GKUS4M7FMM4,268
159,21,159,57,2,14.62,0,153157,4/9/2020,VFI5PE2J7Q95447U6YWN,269
160,9,160,211,7,944.93,0,30680,4/9/2020,LNM0728TOUUS28BTYWBT,270
161,22,161,445,1,5.98,0,56969,4/9/2020,VPBONZEC8NQGL9SW5HCU,271
162,1,162,261,2,54.384,0.2,47797,4/9/2020,F64BHYJWTEYZXCTWBL3I,272
163,1,163,368,5,28.4,0,106404,4/9/2020,YHOYO83MA1667LWIQ35P,273
164,15,164,288,2,27.68,0.2,37564,4/9/2020,Z3OIE4PJTZ0OF62JK6TE,274
165,21,165,361,3,9.936,0.2,106177,4/9/2020,AE8OOCOLMJK1FPS3MJQZ,275
166,14,166,197,8,8159.952,0.4,145054,4/9/2020,6K9APXFSPDSKJPPFTPR1,276
167,8,167,213,3,275.928,0.2,81706,4/10/2020,X6SHWZ3OSUYXZZ4TNPG5,277
168,16,168,166,9,1740.06,0.3,163181,4/10/2020,4S4HV5P5R8Y3G5F2C8E8,278
169,19,169,164,6,32.064,0.2,134546,4/10/2020,D2M5UPW4HMZXKMYKNSF4,279
170,15,170,76,5,177.98,0.8,62909,4/10/2020,OIDPN3SLTV2YKRPHC0FT,280
171,15,171,181,3,143.976,0.2,59030,4/10/2020,9MZ5WJHHOFZ3WPK9F7L3,281
172,11,172,29,3,20.94,0,63156,4/10/2020,ORXZ0V83AR0A9EWDJRKB,282
173,10,173,314,2,110.96,0,49182,4/10/2020,4F3UN158WTTQHKU26VN8,283
174,22,174,39,7,340.144,0.2,117156,4/10/2020,ENYSNBOVWF1RGKBT4DU3,284
175,5,175,78,2,52.448,0.8,86112,4/10/2020,EX6KSU1BDVW2OQS410QG,285
176,11,176,406,4,20.16,0.2,72966,4/10/2020,0ESZ10J81IT5J0PS8VHN,286
177,22,177,35,4,97.264,0.8,71102,4/10/2020,JJ4ORUJP2D4NIEJEKQTH,287
178,2,178,436,7,396.802,0.3,51461,4/10/2020,BD3X5P2CS59TTGUNAA5Z,288
179,18,179,328,5,15.88,0.2,29424,4/10/2020,Y5PH1L6DO4N5G861QL4H,289
180,4,180,304,1,3.28,0,38360,4/11/2020,97VTOXOQ9GOHKC8DF44V,290
181,20,181,357,2,24.816,0.2,72803,4/11/2020,40MND8OLJO1I5OXUOCOH,291
182,6,182,319,7,408.744,0.2,40099,4/11/2020,ENYNVVYOBH0LE5796BP0,292
183,4,183,391,4,503.96,0,247154,4/11/2020,PSNZENAJRRFEBQDNZHCQ,293
184,10,184,281,5,149.95,0,69128,4/11/2020,860XQJQKH0ZGHOVBOH7N,294
185,19,185,5,2,29,0,77757,4/11/2020,JPK73ETL6UCA7HLM2N4K,295
186,1,186,78,2,7.16,0,104869,4/11/2020,9RGXT2ICBZ43TPHFPN5W,296
187,10,187,202,8,176.8,0,75076,4/11/2020,B6M6979OMT3259Y49ACB,297
188,7,188,417,3,37.224,0.2,116103,4/11/2020,UU77ER47C0ZOZYKTRJV8,298
189,22,189,179,3,20.016,0.2,319214,4/11/2020,9T4E6ADAIQH2L5O66QBK,299
190,20,190,332,4,899.136,0.2,28054,4/11/2020,Q21ZEPB9K95EVY1UK56L,300
191,21,191,61,6,71.76,0,39513,4/11/2020,ZKBIM27YBLC257J9JPMB,301
192,20,192,318,8,51.84,0,42567,4/11/2020,8UY6PF43QRMIOQIQGSM4,302
193,7,193,240,3,626.352,0.2,61964,4/11/2020,8OTCPQHK1FK98RPCCWN2,303
194,8,194,363,5,19.9,0,17162,4/11/2020,LTQKGH1J3XZ7NZ65TZON,304
195,15,195,386,7,14.28,0,61880,4/11/2020,PC18GZTD3VZ1FNU2S99F,305
196,9,196,365,2,7.408,0.2,0,4/11/2020,XHK2KRI7JXYFDVHOB0H8,306
197,14,197,403,3,6.048,0.2,46910,4/11/2020,Z2068BB21QF7GRUG6W7A,307
198,22,198,282,3,46.26,0,90557,4/11/2020,KY0L1SDEG8R7WXFKVBF6,308
199,21,199,18,2,2.946,0.7,53148,4/11/2020,H6J8W3M7549XZF4ZK7JY,309
200,22,200,223,3,16.056,0.2,57204,4/11/2020,KHN0KTFVALS302RHD5OQ,310
201,18,201,149,3,21.744,0.2,142493,4/11/2020,A4H9WIALA4V8HXOV7CA7,311
202,23,202,145,2,218.75,0.5,37419,4/11/2020,VIHUYCCI71V8H9D6RNB4,312
203,9,203,149,1,2.6,0.2,47406,4/11/2020,ZGWVJ52L5SDJUFLZFY5Y,313
204,11,204,414,2,66.284,0.8,23866,4/11/2020,320ZZNBOGOZ21V1LYF7A,314
205,11,205,254,7,35.168,0.2,61524,4/11/2020,18HPNUR6BP568VEWWJIQ,315
206,18,206,378,4,444.768,0.2,14256,4/11/2020,P4EGSJJEGJYN62TIACSK,316
207,18,207,321,4,83.92,0,32463,4/11/2020,4ZTVS0NP2VPJZB429UB7,317
208,11,208,148,2,131.98,0,77643,4/11/2020,EN946QOF1HHCQ9TNCQ72,318
209,13,209,362,4,15.92,0,51345,4/11/2020,GO0CLRZHOUSB2GIXEV2W,319
210,20,210,167,9,52.29,0,42705,4/11/2020,CMP0OTAPYV55EVYSIXHO,320
211,12,211,427,1,91.99,0,437332,4/11/2020,9E5OZ30G9NH1EV18JZBQ,321
212,12,212,300,2,20.8,0.2,48578,4/11/2020,AK2YEMV9OY0NB77BTOEJ,322
213,2,213,23,2,23.68,0.2,157361,4/11/2020,KPHD2NUWQAW6SVYHSS9T,323
214,21,214,336,5,452.45,0.5,137565,4/11/2020,DYVD38E733YE0TX3SIP7,324
215,18,215,71,3,62.982,0.4,5164067,4/11/2020,KO83E3VMXS7B87QM0ZFF,325
216,21,216,103,9,1188,0.7,60118,4/11/2020,M7YSS10D09KLLSAM9O5J,326
217,18,217,279,2,89.584,0.2,22224,4/11/2020,XINPNFGZQA9W3GW7PZFU,327
218,9,218,349,6,93.06,0,25047,4/11/2020,8Q9TWUTCY13OD9S3D57Q,328
219,15,219,312,3,302.376,0.2,56986,4/11/2020,090VKIK2LNM0BOSDVQLN,329
220,13,220,109,2,5.584,0.2,48315,4/11/2020,S867Q643BU83E7G9YBB8,330
221,4,221,290,6,22.704,0.2,56492,4/11/2020,UGM0KYFFBH0RB3L2S43N,331
222,8,222,240,4,19.776,0.7,188565,4/11/2020,KZCOGT7445PCLFCSWCIW,332
223,5,223,247,4,72.704,0.2,66634,4/11/2020,EL7VU5WIK8DOEFLY8BOZ,333
224,23,224,435,4,479.988,0.7,42581,4/11/2020,TRXQUBE5BON8TSP3JWIC,334
225,7,225,73,2,27.168,0.2,80794,4/11/2020,CK71HJG4R3TZ4KU94ZUI,335
226,9,226,394,1,2.2,0,135105,4/11/2020,8JPGKMWVPF5MKH6POCRY,336
227,11,227,353,5,622.45,0,0,4/11/2020,2ONCK2NKFM3KBOYV7VF0,337
228,13,228,337,1,21.98,0,51975,4/11/2020,9IIS5D673FUDSHW6W448,338
229,22,229,339,2,161.568,0.2,46541,4/11/2020,ZAKA3F2NE1IJ6S55KFPH,339
230,13,230,96,8,389.696,0.2,78938,4/11/2020,C696J62PARASTA7XI1Y4,340
231,1,231,243,7,18.648,0.7,38385,4/11/2020,OECUMOR0CPFQWN4B3K8Z,341
232,20,232,136,2,233.86,0.45,129536,4/11/2020,3A7RDIX71DQDSNSWBXHA,342
233,11,233,117,3,620.6145,0.45,51535,4/11/2020,Y2U1WN3MEHQ4MK34396T,343
234,17,234,310,2,5.328,0.7,593,4/11/2020,ABPD4ZCESNQP958DPGVT,344
235,2,235,152,3,258.072,0.2,125364,4/11/2020,MUZECFVRDSB07OGP4XWN,345
236,19,236,151,3,617.976,0.2,55803,4/11/2020,UVZGOZ9FKUQ3M3VK6ZYD,346
237,20,237,266,2,10.56,0,114003,4/11/2020,C33YTNFP94AVJO3FROI8,347
238,16,238,341,5,25.92,0.2,69398,4/11/2020,LALG06BJ8T6E2640POHC,348
239,4,239,294,5,419.68,0.6,61619,4/11/2020,8J89TMIAISKJGOFVS18H,349
240,1,240,5,3,11.688,0.6,80623,4/11/2020,8DBLIBPJMTOODFFNW16G,350
241,18,241,124,2,31.984,0.2,79280,4/11/2020,ASK7CNOCM4RV9VMAI912,351
242,22,242,385,5,177.225,0.5,139102,4/11/2020,YR28TYRCNYZHT2YGVWMY,352
243,19,243,159,3,4.044,0.6,220604,4/11/2020,Z5REFTNUMCE36XT7OIDQ,353
244,15,244,115,2,7.408,0.2,84104,4/11/2020,W4TLDPXYWDX201R35VRD,354
245,18,245,311,7,2001.86,0,25579,4/11/2020,3GQT9E79A0B5N31YT24P,355
246,10,246,357,2,166.72,0,119570,4/11/2020,LDMWCYQ5CTNOADH9S4I5,356
247,16,247,355,6,47.88,0,108596,4/11/2020,SCQTHACV1YSZ64LV3SXB,357
248,21,248,248,5,1503.25,0,84962,4/11/2020,5UYOWE6TZZTKKT1V3VOE,358
249,20,249,271,4,25.92,0,54357,4/11/2020,BUUO49WEOBKT5NIS4LV5,359
250,3,250,306,2,321.568,0.2,263679,4/11/2020,1YZELBJZ0X9XOUZ30R4A,360
251,2,251,380,1,7.61,0,143936,4/11/2020,AN8RE5J3YAS889VV9IYC,361
252,12,252,401,13,3347.37,0,38553,4/11/2020,1NHOGK37R96Y0M8YVXC0,362
253,23,253,97,6,80.58,0,103738,4/11/2020,UG0DMIK5LBTBJMRT708E,363
254,23,254,9,4,361.92,0,63088,4/11/2020,T1ZB3FLCV66VE8M7A54K,364
255,7,255,282,9,12.132,0.6,25171,4/11/2020,4CQDIQA0VTO0PBVDADKW,365
256,16,256,88,2,82.368,0.2,25758,4/11/2020,SPWQJ8985U9XPPP9YKPA,366
257,15,257,204,5,53.92,0.2,1041,4/11/2020,ZDIVOWQU0SKOUBMTMZH0,367
258,12,258,232,6,647.904,0.2,31813,4/11/2020,QZE20M63CTULGTCDVUBI,368
259,8,259,201,3,20.37,0,503690,4/11/2020,08MBXKZ9361ZMG2Y5GVS,369
260,11,260,439,3,221.55,0,32515,4/11/2020,KF2R4MGEYI2E3NQ3RHYA,370
261,11,261,2,5,17.52,0.2,47933,4/11/2020,5NZKJTCVEZXHUWFX8CGL,371
262,2,262,40,2,1.624,0.8,36166,4/11/2020,9TP1G6WJ7O0RAIB5Y8CI,372
263,23,263,198,3,3059.982,0.4,69937,4/11/2020,AQFVRKDMBFGX8VU9I2MF,373
264,5,264,89,7,2519.958,0.4,21241,4/11/2020,7AWPKD4SA342RZ396PMJ,374
265,17,265,96,4,328.224,0.2,94589,4/11/2020,VWF06WNQZIF92VX7YKRP,375
266,17,266,354,2,79.9,0,14322,4/11/2020,2TO55RD6BOGLW5EWVAZ3,376
267,2,267,231,3,14.016,0.2,25399,4/11/2020,DUKMBG45WYYY2S2RU049,377
268,14,268,184,6,7.56,0,93521,4/11/2020,NTZO6QIB3ARLKPZ3JUB9,378
269,19,269,344,1,37.208,0.2,82400,4/11/2020,EQINUCB519VUPP0LY5PM,379
270,23,270,21,3,57.576,0.2,20564,4/11/2020,TO6DH33NA6S0J93H1BD6,380
271,20,271,47,4,725.84,0,72888,4/11/2020,20WRU0YIKOLN6L2B9D98,381
272,3,272,229,7,209.93,0,60767,4/11/2020,Q32T6GX4WUCFNRNALM25,382
273,10,273,405,3,5.28,0,76988,4/11/2020,PI6CCN15RY4YOBWTXOJ1,383
274,2,274,181,3,10.92,0.2,112301,4/11/2020,NU97JUE1NQ62C0KWGTSV,384
275,6,275,434,2,8.82,0,121984,4/11/2020,5V7HYFRGOYJ3Q2NX4TSN,385
276,5,276,385,1,5.98,0,61448,4/11/2020,ZRNZMYXYB008T2N9MM4F,386
277,23,277,231,2,11.648,0.2,106374,4/12/2020,4UQXLGBR4YA71QOU1BE7,387
278,12,278,406,4,18.176,0.2,86624,4/12/2020,XRM7AY7ZPWR0K381ZO3E,388
279,3,279,130,6,59.712,0.2,24800,4/12/2020,UITTPW6W9DLABV8KK1QC,389
280,3,280,186,3,24.84,0.2,73946,4/12/2020,USNDVJLLBJXO9JJPERQ9,390
281,1,281,120,5,2.08,0.8,41103,4/12/2020,R8PJNR9YURU2W0P6GTDK,391
